bom_xml_id,component_xml_id,qty,uom
bom_01,prod_raw_02,1,Units
bom_01,prod_raw_04,4,Units
bom_01,prod_raw_05,4,Units
bom_01,prod_raw_08,2,Units
bom_01,prod_raw_11,1,Units
bom_02,prod_raw_02,1.2,Units
bom_02,prod_raw_04,4,Units
bom_02,prod_raw_05,4,Units
bom_02,prod_raw_08,2,Units
bom_02,prod_raw_11,1,Units
bom_03,prod_raw_02,1,Units
bom_03,prod_raw_04,4,Units
bom_03,prod_raw_05,4,Units
bom_03,prod_raw_08,3,Units
bom_03,prod_raw_11,1,Units
bom_04,prod_raw_02,0.5,Units
bom_04,prod_raw_08,4,Units
bom_04,prod_raw_11,1,Units
bom_05,prod_raw_02,1,Units
bom_05,prod_raw_09,1,Units
bom_05,prod_raw_04,2,Units
bom_05,prod_raw_05,4,Units
bom_05,prod_raw_10,1,Units
bom_05,prod_raw_11,1,Units
bom_06,prod_raw_02,1.5,Units
bom_06,prod_raw_09,2,Units
bom_06,prod_raw_04,4,Units
bom_06,prod_raw_05,4,Units
bom_06,prod_raw_10,1,Units
bom_06,prod_raw_11,1,Units
bom_07,prod_raw_02,1.5,Units
bom_07,prod_raw_09,1,Units
bom_07,prod_raw_04,4,Units
bom_07,prod_raw_05,4,Units
bom_07,prod_raw_10,1,Units
bom_07,prod_raw_11,1,Units
bom_08,prod_raw_02,1.8,Units
bom_08,prod_raw_04,6,Units
bom_08,prod_raw_05,6,Units
bom_08,prod_raw_08,2,Units
bom_08,prod_raw_11,1,Units
bom_09,prod_raw_02,2.5,Units
bom_09,prod_raw_04,4,Units
bom_09,prod_raw_07,1,Units
bom_09,prod_raw_11,2,Units
bom_10,prod_raw_02,2,Units
bom_10,prod_raw_09,3,Units
bom_10,prod_raw_04,6,Units
bom_10,prod_raw_05,6,Units
bom_10,prod_raw_10,2,Units
bom_10,prod_raw_11,2,Units
bom_11,prod_raw_02,1.5,Units
bom_11,prod_raw_04,4,Units
bom_11,prod_raw_05,4,Units
bom_11,prod_raw_12,1,Units
bom_11,prod_raw_06,2,Units
bom_11,prod_raw_07,1,Units
bom_11,prod_raw_11,1,Units
bom_12,prod_raw_02,1,Units
bom_12,prod_raw_04,6,Units
bom_12,prod_raw_05,4,Units
bom_12,prod_raw_11,1,Units
