xml_id,name,partner_xml_id,source_so,invoice_date,untaxed,tax,total,journal,payment_status,state
inv_001,INV/2026/0001,cust_10,so_001,2026-03-25,37720.0,3772.0,41492.0,jnl_sale,not_paid,posted
inv_002,INV/2026/0002,cust_43,so_002,2025-11-08,21380.0,2138.0,23518.0,jnl_sale,not_paid,posted
inv_003,INV/2026/0003,cust_23,so_003,2025-12-25,4200.0,420.0,4620.0,jnl_sale,not_paid,posted
inv_004,INV/2026/0004,cust_24,so_004,2026-01-05,15240.0,1524.0,16764.0,jnl_sale,paid,posted
inv_005,INV/2026/0005,cust_15,so_005,2026-03-24,14100.0,1410.0,15510.0,jnl_sale,paid,posted
inv_006,INV/2026/0006,cust_46,so_006,2026-06-07,10180.0,1018.0,11198.0,jnl_sale,not_paid,posted
inv_007,INV/2026/0007,cust_39,so_007,2025-09-03,24760.0,2476.0,27236.0,jnl_sale,not_paid,posted
inv_008,INV/2026/0008,cust_02,so_008,2026-03-13,20080.0,2008.0,22088.0,jnl_sale,paid,posted
inv_009,INV/2026/0009,cust_06,so_009,2026-02-02,12290.0,1229.0,13519.0,jnl_sale,paid,posted
inv_010,INV/2026/0010,cust_34,so_010,2025-08-29,27000.0,2700.0,29700.0,jnl_sale,paid,posted
inv_011,INV/2026/0011,cust_22,so_011,2025-12-08,660.0,66.0,726.0,jnl_sale,not_paid,posted
inv_012,INV/2026/0012,cust_27,so_012,2026-04-27,14400.0,1440.0,15840.0,jnl_sale,paid,posted
inv_013,INV/2026/0013,cust_05,so_013,2026-04-04,75900.0,7590.0,83490.0,jnl_sale,paid,posted
inv_014,INV/2026/0014,cust_13,so_014,2026-05-14,67660.0,6766.0,74426.0,jnl_sale,paid,posted
inv_015,INV/2026/0015,cust_40,so_015,2026-03-20,104090.0,10409.0,114499.0,jnl_sale,paid,posted
inv_016,INV/2026/0016,cust_27,so_016,2026-03-09,4200.0,420.0,4620.0,jnl_sale,paid,posted
inv_017,INV/2026/0017,cust_06,so_017,2025-11-17,28625.0,2862.5,31487.5,jnl_sale,paid,posted
inv_018,INV/2026/0018,cust_27,so_018,2025-10-29,20470.0,2047.0,22517.0,jnl_sale,paid,posted
inv_019,INV/2026/0019,cust_46,so_019,2026-04-28,28500.0,2850.0,31350.0,jnl_sale,not_paid,posted
inv_020,INV/2026/0020,cust_45,so_020,2025-09-28,8820.0,882.0,9702.0,jnl_sale,paid,posted
inv_021,INV/2026/0021,cust_14,so_021,2026-04-22,3125.0,312.5,3437.5,jnl_sale,not_paid,posted
inv_022,INV/2026/0022,cust_16,so_022,2026-01-30,2060.0,206.0,2266.0,jnl_sale,paid,posted
inv_023,INV/2026/0023,cust_29,so_023,2026-04-12,355.0,35.5,390.5,jnl_sale,paid,posted
inv_024,INV/2026/0024,cust_05,so_024,2026-01-12,700.0,70.0,770.0,jnl_sale,paid,posted
inv_025,INV/2026/0025,cust_46,so_025,2026-01-06,890.0,89.0,979.0,jnl_sale,not_paid,posted
inv_026,INV/2026/0026,cust_32,so_026,2026-05-13,3410.0,341.0,3751.0,jnl_sale,not_paid,posted
inv_027,INV/2026/0027,cust_12,so_027,2026-03-05,2096.0,209.6,2305.6,jnl_sale,not_paid,posted
inv_028,INV/2026/0028,cust_21,so_028,2026-02-02,1652.0,165.2,1817.2,jnl_sale,not_paid,posted
inv_029,INV/2026/0029,cust_44,so_029,2026-06-17,1312.0,131.2,1443.2,jnl_sale,paid,posted
inv_030,INV/2026/0030,cust_38,so_030,2026-02-15,2544.0,254.4,2798.4,jnl_sale,paid,posted
inv_031,INV/2026/0031,cust_34,so_031,2026-04-18,465.0,46.5,511.5,jnl_sale,paid,posted
inv_032,INV/2026/0032,cust_09,so_032,2026-03-12,1918.0,191.8,2109.8,jnl_sale,not_paid,posted
inv_033,INV/2026/0033,cust_01,so_033,2026-06-01,2400.0,240.0,2640.0,jnl_sale,paid,posted
inv_034,INV/2026/0034,cust_10,so_035,2026-02-02,3700.0,370.0,4070.0,jnl_sale,paid,posted
inv_035,INV/2026/0035,cust_45,so_036,2026-02-17,760.0,76.0,836.0,jnl_sale,paid,posted
inv_036,INV/2026/0036,cust_25,so_037,2026-05-28,8160.0,816.0,8976.0,jnl_sale,paid,posted
inv_037,INV/2026/0037,cust_46,so_038,2026-05-19,2800.0,280.0,3080.0,jnl_sale,paid,posted
inv_038,INV/2026/0038,cust_24,so_041,2026-04-25,24240.0,1939.2,26179.2,jnl_sale,paid,posted
inv_039,INV/2026/0039,cust_24,so_042,2026-06-07,4160.0,332.8,4492.8,jnl_sale,paid,posted
inv_040,INV/2026/0040,cust_19,so_043,2026-05-10,7400.0,592.0,7992.0,jnl_sale,paid,posted
inv_041,INV/2026/0041,cust_31,so_044,2026-06-01,13800.0,1104.0,14904.0,jnl_sale,paid,posted
inv_042,INV/2026/0042,cust_31,so_045,2026-03-30,8500.0,680.0,9180.0,jnl_sale,not_paid,posted
inv_043,INV/2026/0043,cust_15,so_046,2026-04-20,2400.0,192.0,2592.0,jnl_sale,paid,posted
inv_044,INV/2026/0044,cust_38,so_047,2026-03-01,2080.0,166.4,2246.4,jnl_sale,paid,posted
inv_045,INV/2026/0045,cust_32,so_048,2026-06-04,2400.0,192.0,2592.0,jnl_sale,not_paid,posted
