xml_id,name,product_xml_id,bom_ref,qty,date_planned,state,warehouse
mo_01,MO/2026/0001,prod_fab_09,prod_fab_09,8,2026-07-06,done,wh_gelugor
mo_02,MO/2026/0002,prod_fab_07,prod_fab_07,2,2026-06-05,confirmed,wh_gelugor
mo_03,MO/2026/0003,prod_fab_11,prod_fab_11,7,2026-06-26,done,wh_gelugor
mo_04,MO/2026/0004,prod_fab_06,prod_fab_06,6,2026-05-11,progress,wh_gelugor
mo_05,MO/2026/0005,prod_fab_10,prod_fab_10,7,2026-05-03,progress,wh_gelugor
mo_06,MO/2026/0006,prod_fab_06,prod_fab_06,8,2026-06-30,done,wh_gelugor
mo_07,MO/2026/0007,prod_fab_02,prod_fab_02,7,2026-06-19,confirmed,wh_gelugor
mo_08,MO/2026/0008,prod_fab_01,prod_fab_01,6,2026-05-31,progress,wh_gelugor
mo_09,MO/2026/0009,prod_fab_09,prod_fab_09,4,2026-05-24,confirmed,wh_gelugor
mo_10,MO/2026/0010,prod_fab_07,prod_fab_07,2,2026-05-28,progress,wh_gelugor
mo_11,MO/2026/0011,prod_fab_09,prod_fab_09,1,2026-05-24,done,wh_gelugor
mo_12,MO/2026/0012,prod_fab_07,prod_fab_07,4,2026-05-27,progress,wh_gelugor
mo_13,MO/2026/0013,prod_fab_01,prod_fab_01,5,2026-05-29,done,wh_gelugor
mo_14,MO/2026/0014,prod_fab_11,prod_fab_11,3,2026-06-22,progress,wh_gelugor
mo_15,MO/2026/0015,prod_fab_07,prod_fab_07,7,2026-05-31,done,wh_gelugor
mo_16,MO/2026/0016,prod_fab_10,prod_fab_10,5,2026-06-18,done,wh_gelugor
mo_17,MO/2026/0017,prod_fab_01,prod_fab_01,8,2026-06-23,draft,wh_gelugor
mo_18,MO/2026/0018,prod_fab_09,prod_fab_09,2,2026-07-05,draft,wh_gelugor
mo_19,MO/2026/0019,prod_fab_06,prod_fab_06,6,2026-06-06,progress,wh_gelugor
mo_20,MO/2026/0020,prod_fab_01,prod_fab_01,3,2026-06-18,done,wh_gelugor
mo_21,MO/2026/0021,prod_fab_12,prod_fab_12,2,2026-05-18,done,wh_gelugor
mo_22,MO/2026/0022,prod_fab_04,prod_fab_04,8,2026-06-11,draft,wh_gelugor
