xml_id,invoice_xml_id,partner_xml_id,amount,date,journal,payment_type
pay_004,inv_004,cust_24,16764.0,2026-01-05,jnl_bank_cimb,inbound
pay_005,inv_005,cust_15,15510.0,2026-03-24,jnl_bank_cimb,inbound
pay_008,inv_008,cust_02,22088.0,2026-03-13,jnl_bank_cimb,inbound
pay_009,inv_009,cust_06,13519.0,2026-02-02,jnl_bank_cimb,inbound
pay_010,inv_010,cust_34,29700.0,2025-08-29,jnl_bank_cimb,inbound
pay_012,inv_012,cust_27,15840.0,2026-04-27,jnl_bank_mbb,inbound
pay_013,inv_013,cust_05,83490.0,2026-04-04,jnl_bank_mbb,inbound
pay_014,inv_014,cust_13,74426.0,2026-05-14,jnl_bank_mbb,inbound
pay_015,inv_015,cust_40,114499.0,2026-03-20,jnl_bank_cimb,inbound
pay_016,inv_016,cust_27,4620.0,2026-03-09,jnl_bank_cimb,inbound
pay_017,inv_017,cust_06,31487.5,2025-11-17,jnl_bank_cimb,inbound
pay_018,inv_018,cust_27,22517.0,2025-10-29,jnl_bank_mbb,inbound
pay_020,inv_020,cust_45,9702.0,2025-09-28,jnl_bank_cimb,inbound
pay_022,inv_022,cust_16,2266.0,2026-01-30,jnl_bank_cimb,inbound
pay_023,inv_023,cust_29,390.5,2026-04-12,jnl_bank_mbb,inbound
pay_024,inv_024,cust_05,770.0,2026-01-12,jnl_bank_mbb,inbound
pay_029,inv_029,cust_44,1443.2,2026-06-17,jnl_bank_mbb,inbound
pay_030,inv_030,cust_38,2798.4,2026-02-15,jnl_bank_mbb,inbound
pay_031,inv_031,cust_34,511.5,2026-04-18,jnl_bank_mbb,inbound
pay_033,inv_033,cust_01,2640.0,2026-06-01,jnl_bank_mbb,inbound
pay_034,inv_034,cust_10,4070.0,2026-02-02,jnl_bank_mbb,inbound
pay_035,inv_035,cust_45,836.0,2026-02-17,jnl_bank_cimb,inbound
pay_036,inv_036,cust_25,8976.0,2026-05-28,jnl_bank_mbb,inbound
pay_037,inv_037,cust_46,3080.0,2026-05-19,jnl_bank_mbb,inbound
pay_038,inv_038,cust_24,26179.2,2026-04-25,jnl_bank_mbb,inbound
pay_039,inv_039,cust_24,4492.8,2026-06-07,jnl_bank_cimb,inbound
pay_040,inv_040,cust_19,7992.0,2026-05-10,jnl_bank_mbb,inbound
pay_041,inv_041,cust_31,14904.0,2026-06-01,jnl_bank_mbb,inbound
pay_043,inv_043,cust_15,2592.0,2026-04-20,jnl_bank_cimb,inbound
pay_044,inv_044,cust_38,2246.4,2026-03-01,jnl_bank_cimb,inbound
