xml_id,name,vendor_xml_id,date_order,state
po_01,P5000,vend_02,2026-04-17,purchase
po_02,P5001,vend_17,2026-04-05,purchase
po_03,P5002,vend_11,2026-03-10,draft
po_04,P5003,vend_17,2026-01-20,done
po_05,P5004,vend_05,2026-06-19,draft
po_06,P5005,vend_14,2026-02-09,purchase
po_07,P5006,vend_22,2026-04-22,done
po_08,P5007,vend_12,2026-06-03,draft
po_09,P5008,vend_03,2026-04-13,purchase
po_10,P5009,vend_08,2026-06-03,purchase
po_11,P5010,vend_17,2026-02-16,purchase
po_12,P5011,vend_03,2026-02-16,purchase
po_13,P5012,vend_02,2026-01-19,done
po_14,P5013,vend_07,2026-02-24,done
po_15,P5014,vend_11,2026-06-18,done
po_16,P5015,vend_14,2026-03-19,purchase
po_17,P5016,vend_18,2026-01-20,purchase
po_18,P5017,vend_12,2026-06-08,done
po_19,P5018,vend_11,2026-06-12,done
po_20,P5019,vend_12,2026-05-25,draft
po_21,P5020,vend_04,2026-03-10,draft
po_22,P5021,vend_16,2026-04-14,draft
po_23,P5022,vend_18,2026-06-12,purchase
po_24,P5023,vend_12,2026-04-08,draft
