product_xml_id,product_code,warehouse,min_qty,max_qty,multiple_qty
prod_acc_01,EQ-AC-001,wh_gelugor,10,50,1
prod_acc_02,EQ-AC-002,wh_gelugor,10,50,1
prod_acc_03,EQ-AC-003,wh_gelugor,10,50,1
prod_acc_04,EQ-AC-004,wh_gelugor,10,50,1
prod_acc_05,EQ-AC-005,wh_gelugor,10,50,1
prod_acc_06,EQ-AC-006,wh_gelugor,10,50,1
prod_acc_07,EQ-AC-007,wh_gelugor,10,50,1
prod_acc_08,EQ-AC-008,wh_gelugor,10,50,1
prod_acc_09,EQ-AC-009,wh_gelugor,10,50,1
prod_acc_10,EQ-AC-010,wh_gelugor,10,50,1
prod_acc_11,EQ-AC-011,wh_gelugor,10,50,1
prod_acc_12,EQ-AC-012,wh_gelugor,10,50,1
prod_raw_01,FAB-RAW-001,wh_gelugor,20,100,1
prod_raw_02,FAB-RAW-002,wh_gelugor,20,100,1
prod_raw_03,FAB-RAW-003,wh_gelugor,20,100,1
prod_raw_04,FAB-RAW-004,wh_gelugor,20,100,1
prod_raw_05,FAB-RAW-005,wh_gelugor,20,100,1
prod_raw_06,FAB-RAW-006,wh_gelugor,20,100,1
prod_raw_07,FAB-RAW-007,wh_gelugor,20,100,1
prod_raw_08,FAB-RAW-008,wh_gelugor,20,100,1
prod_raw_09,FAB-RAW-009,wh_gelugor,20,100,1
prod_raw_10,FAB-RAW-010,wh_gelugor,20,100,1
prod_raw_11,FAB-RAW-011,wh_gelugor,20,100,1
prod_raw_12,FAB-RAW-012,wh_gelugor,20,100,1
prod_chem_01,CHM-DET-001,wh_gelugor,15,80,1
prod_chem_02,CHM-RIN-002,wh_gelugor,15,80,1
prod_chem_03,CHM-POT-003,wh_gelugor,15,80,1
prod_chem_04,CHM-DEG-004,wh_gelugor,15,80,1
prod_chem_05,CHM-OVN-005,wh_gelugor,15,80,1
prod_chem_06,CHM-DSC-006,wh_gelugor,15,80,1
prod_chem_07,CHM-SAN-007,wh_gelugor,15,80,1
prod_chem_08,CHM-FLR-008,wh_gelugor,15,80,1
prod_chem_09,CHM-MSC-009,wh_gelugor,15,80,1
prod_chem_10,CHM-GLS-010,wh_gelugor,15,80,1
prod_chem_11,CHM-TBC-011,wh_gelugor,15,80,1
prod_chem_12,CHM-AIR-012,wh_gelugor,15,80,1
prod_chem_13,CHM-CAR-013,wh_gelugor,15,80,1
prod_chem_14,CHM-HND-014,wh_gelugor,15,80,1
prod_chem_15,CHM-LDP-015,wh_gelugor,15,80,1
prod_chem_16,CHM-LDL-016,wh_gelugor,15,80,1
prod_chem_17,CHM-FSF-017,wh_gelugor,15,80,1
prod_chem_18,CHM-LBL-018,wh_gelugor,15,80,1
prod_chem_19,CHM-STN-019,wh_gelugor,15,80,1
prod_chem_20,CHM-CLG-020,wh_gelugor,15,80,1
prod_chem_21,CHM-CLL-021,wh_gelugor,15,80,1
prod_chem_22,CHM-PHR-022,wh_gelugor,15,80,1
prod_chem_23,CHM-ALG-023,wh_gelugor,15,80,1
prod_chem_24,CHM-CLR-024,wh_gelugor,15,80,1
prod_chem_25,CHM-STB-025,wh_gelugor,15,80,1
