so_xml_id,product_xml_id,qty,unit_price
so_001,prod_prep_07,2,18500.0
so_001,prod_acc_06,6,120.0
so_002,prod_cook_05,2,9800.0
so_002,prod_dish_08,2,890.0
so_003,prod_cook_03,1,4200.0
so_004,prod_cook_04,1,6800.0
so_004,prod_acc_08,4,60.0
so_004,prod_ref_10,2,4100.0
so_005,prod_cook_13,1,2100.0
so_005,prod_prep_09,2,2800.0
so_005,prod_ref_03,1,6400.0
so_006,prod_dish_05,2,4200.0
so_006,prod_dish_08,2,890.0
so_007,prod_acc_05,2,180.0
so_007,prod_prep_02,1,14800.0
so_007,prod_prep_03,1,9600.0
so_008,prod_acc_06,3,120.0
so_008,prod_acc_08,2,60.0
so_008,prod_cook_05,2,9800.0
so_009,prod_ref_08,1,3200.0
so_009,prod_acc_04,2,95.0
so_009,prod_ref_01,1,8900.0
so_010,prod_cook_06,2,13500.0
so_011,prod_acc_03,3,220.0
so_012,prod_ref_05,2,7200.0
so_013,prod_cook_15,2,7400.0
so_013,prod_cook_11,1,42000.0
so_013,prod_cook_06,1,13500.0
so_013,prod_prep_09,2,2800.0
so_014,prod_ref_04,2,26500.0
so_014,prod_acc_01,2,145.0
so_014,prod_cook_06,1,13500.0
so_014,prod_acc_01,6,145.0
so_015,prod_dish_04,1,98000.0
so_015,prod_prep_01,1,5200.0
so_015,prod_dish_08,1,890.0
so_016,prod_cook_13,2,2100.0
so_017,prod_ref_10,2,4100.0
so_017,prod_acc_09,5,45.0
so_017,prod_cook_06,1,13500.0
so_017,prod_prep_08,1,6700.0
so_018,prod_acc_01,6,145.0
so_018,prod_ref_02,2,9800.0
so_019,prod_cook_12,1,28500.0
so_020,prod_acc_03,1,220.0
so_020,prod_cook_09,2,4300.0
so_021,prod_chem_03,1,95.0
so_021,prod_chem_02,6,165.0
so_021,prod_chem_07,5,120.0
so_021,prod_chem_25,6,240.0
so_022,prod_chem_04,6,140.0
so_022,prod_chem_12,1,55.0
so_022,prod_chem_08,3,88.0
so_022,prod_chem_10,2,38.0
so_022,prod_chem_02,5,165.0
so_023,prod_chem_03,1,95.0
so_023,prod_chem_02,1,165.0
so_023,prod_chem_23,1,95.0
so_024,prod_chem_13,3,160.0
so_024,prod_chem_21,1,110.0
so_024,prod_chem_21,1,110.0
so_025,prod_chem_04,4,140.0
so_025,prod_chem_14,6,48.0
so_025,prod_chem_09,1,42.0
so_026,prod_chem_15,5,210.0
so_026,prod_chem_20,6,320.0
so_026,prod_chem_08,3,88.0
so_026,prod_chem_19,2,88.0
so_027,prod_chem_22,1,180.0
so_027,prod_chem_18,6,95.0
so_027,prod_chem_08,2,88.0
so_027,prod_chem_02,2,165.0
so_027,prod_chem_15,4,210.0
so_028,prod_chem_04,4,140.0
so_028,prod_chem_09,3,42.0
so_028,prod_chem_09,3,42.0
so_028,prod_chem_14,2,48.0
so_028,prod_chem_14,3,48.0
so_028,prod_chem_07,5,120.0
so_029,prod_chem_06,3,68.0
so_029,prod_chem_08,1,88.0
so_029,prod_chem_14,5,48.0
so_029,prod_chem_17,6,130.0
so_030,prod_chem_21,3,110.0
so_030,prod_chem_09,2,42.0
so_030,prod_chem_25,5,240.0
so_030,prod_chem_02,1,165.0
so_030,prod_chem_23,3,95.0
so_030,prod_chem_07,4,120.0
so_031,prod_chem_15,1,210.0
so_031,prod_chem_24,3,85.0
so_032,prod_chem_22,3,180.0
so_032,prod_chem_18,1,95.0
so_032,prod_chem_18,1,95.0
so_032,prod_chem_10,6,38.0
so_032,prod_chem_05,5,78.0
so_032,prod_chem_18,6,95.0
so_033,prod_fab_01,2,1200.0
so_034,prod_fab_04,2,380.0
so_034,prod_fab_08,2,1650.0
so_035,prod_fab_07,2,1850.0
so_036,prod_fab_04,2,380.0
so_037,prod_fab_05,2,980.0
so_037,prod_fab_08,2,1650.0
so_037,prod_fab_06,2,1450.0
so_038,prod_fab_02,2,1400.0
so_039,prod_fab_09,2,2800.0
so_039,prod_fab_12,2,720.0
so_039,prod_fab_05,2,980.0
so_040,prod_fab_01,1,1200.0
so_041,prod_svc_09,2,12000.0
so_041,prod_svc_11,2,120.0
so_042,prod_svc_12,2,580.0
so_042,prod_svc_05,2,1500.0
so_043,prod_svc_17,2,2500.0
so_043,prod_svc_16,2,1200.0
so_044,prod_svc_01,1,12000.0
so_044,prod_svc_04,1,1800.0
so_045,prod_svc_02,1,8500.0
so_046,prod_svc_16,2,1200.0
so_047,prod_svc_12,1,580.0
so_047,prod_svc_05,1,1500.0
so_048,prod_svc_16,2,1200.0
so_049,prod_cook_06,1,13500.0
so_049,prod_svc_11,1,120.0
so_049,prod_cook_15,1,7400.0
so_050,prod_prep_01,2,5200.0
so_050,prod_chem_11,6,45.0
so_050,prod_prep_05,1,3800.0
so_050,prod_cook_09,2,4300.0
so_051,prod_svc_13,1,780.0
so_051,prod_chem_19,4,88.0
so_051,prod_chem_05,3,78.0
so_051,prod_dish_04,1,98000.0
so_051,prod_svc_15,2,420.0
so_052,prod_chem_24,3,85.0
so_052,prod_chem_22,5,180.0
so_052,prod_prep_01,2,5200.0
so_052,prod_ref_10,2,4100.0
so_053,prod_chem_15,1,210.0
so_053,prod_cook_02,2,11200.0
so_053,prod_svc_13,2,780.0
so_053,prod_dish_08,2,890.0
so_053,prod_prep_04,2,4300.0
so_054,prod_svc_11,2,120.0
so_054,prod_prep_01,1,5200.0
so_054,prod_chem_21,5,110.0
so_054,prod_svc_06,1,4200.0
