xml_id,name,partner_xml_id,date_order,state,salesperson_xml_id,pricelist
so_001,S4001,cust_10,2026-03-25,sale,emp_03,Default
so_002,S4002,cust_43,2025-11-08,sale,emp_05,Hotel/Chain
so_003,S4003,cust_23,2025-12-25,done,emp_06,Default
so_004,S4004,cust_24,2026-01-05,done,emp_03,Default
so_005,S4005,cust_15,2026-03-24,sale,emp_07,Default
so_006,S4006,cust_46,2026-06-07,sale,emp_04,Hotel/Chain
so_007,S4007,cust_39,2025-09-03,sale,emp_05,Hotel/Chain
so_008,S4008,cust_02,2026-03-13,sale,emp_04,Hotel/Chain
so_009,S4009,cust_06,2026-02-02,done,emp_04,Hotel/Chain
so_010,S4010,cust_34,2025-08-29,sale,emp_06,Hotel/Chain
so_011,S4011,cust_22,2025-12-08,sale,emp_06,Default
so_012,S4012,cust_27,2026-04-27,done,emp_05,Default
so_013,S4013,cust_05,2026-04-04,sale,emp_03,Hotel/Chain
so_014,S4014,cust_13,2026-05-14,sale,emp_04,Default
so_015,S4015,cust_40,2026-03-20,sale,emp_05,Hotel/Chain
so_016,S4016,cust_27,2026-03-09,done,emp_04,Default
so_017,S4017,cust_06,2025-11-17,sale,emp_04,Hotel/Chain
so_018,S4018,cust_27,2025-10-29,done,emp_04,Default
so_019,S4019,cust_46,2026-04-28,sale,emp_06,Hotel/Chain
so_020,S4020,cust_45,2025-09-28,sale,emp_07,Hotel/Chain
so_021,S4021,cust_14,2026-04-22,sale,emp_06,Default
so_022,S4022,cust_16,2026-01-30,sale,emp_06,Default
so_023,S4023,cust_29,2026-04-12,sale,emp_07,Default
so_024,S4024,cust_05,2026-01-12,sale,emp_07,Hotel/Chain
so_025,S4025,cust_46,2026-01-06,sale,emp_07,Hotel/Chain
so_026,S4026,cust_32,2026-05-13,sale,emp_05,Hotel/Chain
so_027,S4027,cust_12,2026-03-05,sale,emp_05,Default
so_028,S4028,cust_21,2026-02-02,sale,emp_05,Default
so_029,S4029,cust_44,2026-06-17,sale,emp_07,Default
so_030,S4030,cust_38,2026-02-15,sale,emp_04,Default
so_031,S4031,cust_34,2026-04-18,sale,emp_04,Hotel/Chain
so_032,S4032,cust_09,2026-03-12,sale,emp_07,Default
so_033,S4033,cust_01,2026-06-01,sale,emp_04,Hotel/Chain
so_034,S4034,cust_17,2026-02-15,draft,emp_03,Hotel/Chain
so_035,S4035,cust_10,2026-02-02,sale,emp_07,Default
so_036,S4036,cust_45,2026-02-17,sale,emp_03,Hotel/Chain
so_037,S4037,cust_25,2026-05-28,sale,emp_03,Default
so_038,S4038,cust_46,2026-05-19,sale,emp_07,Hotel/Chain
so_039,S4039,cust_10,2026-01-29,draft,emp_07,Default
so_040,S4040,cust_34,2026-06-10,draft,emp_06,Hotel/Chain
so_041,S4041,cust_24,2026-04-25,sale,emp_06,Default
so_042,S4042,cust_24,2026-06-07,sale,emp_07,Default
so_043,S4043,cust_19,2026-05-10,sale,emp_07,Hotel/Chain
so_044,S4044,cust_31,2026-06-01,sale,emp_03,Hotel/Chain
so_045,S4045,cust_31,2026-03-30,sale,emp_04,Hotel/Chain
so_046,S4046,cust_15,2026-04-20,sale,emp_05,Default
so_047,S4047,cust_38,2026-03-01,sale,emp_03,Default
so_048,S4048,cust_32,2026-06-04,sale,emp_06,Hotel/Chain
so_049,S4049,cust_45,2026-06-03,draft,emp_07,Hotel/Chain
so_050,S4050,cust_35,2026-06-06,draft,emp_07,Default
so_051,S4051,cust_15,2026-05-23,draft,emp_07,Default
so_052,S4052,cust_23,2026-06-02,draft,emp_06,Default
so_053,S4053,cust_04,2026-06-02,draft,emp_03,Hotel/Chain
so_054,S4054,cust_02,2026-06-15,draft,emp_03,Hotel/Chain
