po_xml_id,product_xml_id,qty,unit_cost
po_01,prod_ref_01,9,6200.0
po_01,prod_house_03,9,420.0
po_02,prod_chem_11,4,24.0
po_02,prod_chem_25,3,145.0
po_02,prod_ref_03,11,4400.0
po_02,prod_chem_24,19,50.0
po_03,prod_house_04,7,1600.0
po_03,prod_house_01,15,2100.0
po_03,prod_acc_01,18,85.0
po_03,prod_fab_03,10,720.0
po_04,prod_chem_11,12,24.0
po_05,prod_raw_02,11,275.0
po_05,prod_raw_09,18,48.0
po_06,prod_chem_18,10,55.0
po_06,prod_raw_09,9,48.0
po_06,prod_fab_07,13,1180.0
po_07,prod_cook_05,17,6900.0
po_07,prod_prep_07,7,13000.0
po_07,prod_dish_07,18,1700.0
po_07,prod_raw_01,5,210.0
po_08,prod_ref_07,2,4000.0
po_08,prod_fab_05,10,620.0
po_08,prod_chem_11,20,24.0
po_08,prod_acc_09,3,22.0
po_09,prod_ref_10,17,2750.0
po_10,prod_chem_14,19,26.0
po_10,prod_cook_09,12,2850.0
po_10,prod_cook_06,13,9600.0
po_10,prod_raw_02,18,275.0
po_11,prod_raw_01,19,210.0
po_12,prod_chem_16,7,105.0
po_12,prod_ref_09,5,6700.0
po_12,prod_acc_08,2,28.0
po_13,prod_ref_10,19,2750.0
po_13,prod_fab_11,2,1280.0
po_14,prod_chem_06,3,38.0
po_14,prod_house_03,9,420.0
po_14,prod_fab_02,15,910.0
po_15,prod_acc_03,4,130.0
po_16,prod_ref_06,18,23000.0
po_16,prod_raw_12,14,32.0
po_17,prod_raw_06,13,9.0
po_17,prod_fab_03,2,720.0
po_17,prod_chem_14,5,26.0
po_18,prod_ref_04,9,19000.0
po_18,prod_prep_09,17,1800.0
po_18,prod_chem_16,5,105.0
po_19,prod_chem_06,17,38.0
po_19,prod_ref_07,11,4000.0
po_19,prod_cook_15,4,5100.0
po_19,prod_acc_07,3,38.0
po_20,prod_chem_03,20,55.0
po_20,prod_fab_05,15,620.0
po_21,prod_raw_06,6,9.0
po_21,prod_prep_06,10,4100.0
po_21,prod_raw_07,9,11.0
po_22,prod_chem_17,8,78.0
po_22,prod_prep_01,15,3500.0
po_22,prod_cook_12,19,20500.0
po_23,prod_prep_10,5,3300.0
po_23,prod_fab_04,9,240.0
po_24,prod_chem_08,2,50.0
po_24,prod_acc_07,16,38.0
